-0.41766 0.16583 0.28325 -0.19092 -0.39526|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.22376 0.19814 0.42534 -0.15462 -0.35301|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.41638 -0.16383 0.27451 0.18283 -0.03764|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.23812 -0.31533 0.32610 0.18626 -0.28556|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.33910 -0.07237 0.28514 0.02257 -0.44410|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
0.09264 -0.26064 -0.27901 -0.14186 -0.11068|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.16954 0.37517 0.26035 -0.06404 -0.27812|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.05231 -0.04592 -0.24654 0.16712 0.39627|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.34922 0.10420 -0.40636 -0.27422 0.36277|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.36478 -0.39199 0.11582 0.21865 0.40550|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
-0.39112 0.03857 -0.16617 0.25245 -0.33387|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.19311 0.10870 -0.41725 -0.31124 0.25808|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.19279 -0.12447 0.12346 0.11738 -0.06558|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.42260 0.12819 -0.33314 -0.18027 0.06741|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.11253 0.20998 0.00462 -0.00253 0.36271|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
-0.17122 -0.16563 0.43300 -0.13249 -0.24358|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.30163 -0.12932 0.01421 0.09715 0.23638|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.18756 0.12823 0.00011 0.02329 0.03514|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.22117 0.25441 0.42030 -0.03971 -0.18681|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.26526 -0.29575 -0.26918 0.36485 0.03840|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
0.34609 0.30986 -0.12439 -0.08224 0.04138|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.19223 0.05479 -0.14744 0.18852 0.31159|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.18305 0.25206 0.37583 0.00829 -0.42486|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.11797 -0.21433 -0.30800 0.39591 -0.43217|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.28319 0.28548 -0.43360 -0.33088 -0.00556|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
-0.15042 -0.29903 -0.02100 0.30961 -0.18249|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.32654 -0.22467 0.06212 -0.06083 -0.04732|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.03148 0.16244 -0.15484 -0.04489 0.00580|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.03259 -0.20188 -0.24413 -0.41015 0.16349|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.18183 -0.01899 0.33893 0.33509 -0.05276|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
-0.39849 0.37580 -0.33854 0.01982 -0.28260|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.27653 0.43224 0.42970 0.37353 -0.43168|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.03762 -0.38596 0.24012 -0.01677 0.44646|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.08211 -0.24843 0.03272 0.37964 -0.02398|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.31238 -0.33211 0.14133 0.07438 -0.08752|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
0.10655 -0.05611 -0.01017 0.06798 0.00175|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.11152 -0.29045 0.26157 -0.43131 -0.35706|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.39722 -0.27261 -0.28399 -0.03437 -0.01501|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.19751 0.16631 0.19058 -0.08366 -0.27187|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.34249 0.23779 -0.03281 0.26689 -0.13480|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
-0.25388 0.43630 0.33806 0.12101 0.28761|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.36599 -0.09003 0.10939 -0.33683 -0.28080|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.11229 -0.13405 0.10146 -0.04356 0.42248|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.28646 -0.28719 0.36955 0.36061 0.38251|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.34597 -0.06002 -0.18288 -0.41825 -0.17178|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
0.27339 0.02689 -0.21324 0.17273 -0.32134|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.04396 0.10332 -0.04658 -0.24338 -0.20487|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.26661 -0.00131 -0.41029 -0.05415 -0.03536|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.38216 0.14774 -0.35059 -0.09201 0.14096|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.35628 -0.36425 -0.33850 -0.21242 -0.21082|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
-0.38326 -0.15886 0.39815 -0.20916 -0.23012|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.33778 -0.11706 0.39451 0.16795 -0.22556|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.28763 0.26706 0.36988 -0.14330 0.06807|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.27852 0.29019 0.41573 0.05628 -0.10874|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.17728 0.04090 0.29654 0.16485 0.36513|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
-0.01199 0.10017 -0.41003 0.17846 0.43904|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.15488 -0.42204 -0.30478 -0.08614 0.30827|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.11286 0.15382 -0.17619 -0.20536 -0.40033|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.16949 0.27823 -0.43485 0.13157 -0.41528|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.27559 -0.28784 0.15276 -0.07963 0.30796|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
-0.38731 -0.31719 -0.07179 0.22909 -0.17031|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.33751 -0.23626 0.42962 0.00610 0.38373|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.40988 0.27952 0.20212 -0.21823 0.03512|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.06627 -0.18858 -0.26620 -0.32456 0.23570|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.29339 0.29515 -0.00913 0.12187 0.26652|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
0.01322 -0.02867 0.03405 -0.27275 -0.39403|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.18413 0.38153 -0.25330 -0.24263 0.02496|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.33506 0.19232 -0.32687 -0.27018 -0.42794|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.01700 -0.17360 -0.19972 -0.23447 -0.06184|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.17398 -0.00658 -0.12837 -0.10447 0.22088|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
-0.09537 0.20247 0.08963 0.20800 0.08416|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.43292 0.06515 -0.12874 0.42162 0.19555|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.15089 0.16207 -0.36091 -0.21362 0.33613|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.00066 -0.36910 0.25309 -0.41007 -0.30506|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.40629 -0.15372 -0.20614 -0.08988 -0.44574|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
0.15902 0.03290 -0.18326 -0.17151 0.17621|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.09577 -0.13973 0.32123 -0.05847 0.17590|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.18630 0.44526 0.42946 -0.29678 0.44255|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.22016 -0.21134 0.13766 -0.25317 0.34473|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.14149 0.26643 0.44255 0.29770 0.13674|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
-0.35019 0.30644 -0.08719 0.21867 -0.04831|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.29196 -0.43077 -0.37018 -0.31012 -0.18389|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.02367 0.34418 -0.10929 -0.35468 -0.02359|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.31645 -0.21070 0.19186 -0.17146 0.04211|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.29861 -0.04931 0.31044 0.06145 0.08463|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
0.15055 -0.12921 0.23923 0.26639 0.23584|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.09221 -0.26267 0.35417 -0.22128 -0.10956|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.37948 -0.44072 0.25819 -0.37388 0.40863|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.43549 0.20013 0.34655 0.25745 -0.20694|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.33220 -0.37754 0.13310 0.25148 0.03588|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
-0.25928 -0.41146 0.17062 -0.33401 0.31379|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.20500 -0.21625 -0.18009 0.20663 -0.39482|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.22899 -0.31267 0.18398 -0.35164 -0.11202|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.06625 -0.34633 0.30948 0.17085 -0.11883|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.27147 -0.29734 0.39604 0.02525 0.11610|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
0.24911 0.05498 -0.39258 -0.28519 -0.29611|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.29784 -0.04075 -0.34626 0.29667 -0.32006|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.30287 -0.19659 -0.33908 -0.36879 0.32123|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.17824 0.07123 -0.42502 -0.29139 -0.36605|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.24487 0.27577 0.22483 0.21949 0.06978|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
-0.22863 0.35971 -0.27634 0.10994 0.37541|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.23961 -0.30183 -0.12613 0.05072 0.21653|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.45620 -0.26967 0.03521 -0.41580 -0.13927|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.24697 0.10089 -0.34680 -0.19378 0.23521|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.16768 -0.01132 0.11866 0.00244 0.02983|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
0.26778 -0.08046 0.04680 0.15677 -0.23509|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.27504 -0.13802 -0.29902 0.13857 0.29058|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.08596 -0.16413 0.39975 -0.43699 0.29187|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.36949 -0.38686 -0.19599 0.23236 -0.01568|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.20486 -0.34365 -0.06267 0.18922 -0.02125|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
-0.24914 0.18522 0.13794 -0.34865 0.43446|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.22411 -0.43658 -0.09997 -0.11423 -0.06962|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.25543 -0.27174 -0.14269 0.39763 -0.17524|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.42157 -0.39297 -0.14694 0.31093 -0.32005|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.24234 0.22809 -0.20095 -0.05111 -0.07569|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
0.12852 -0.03185 -0.02694 -0.38991 0.07266|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.34118 0.38689 -0.13782 -0.13924 0.22552|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.14163 -0.05919 0.21853 0.36855 -0.38150|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.05770 -0.13290 -0.21794 0.34868 -0.39689|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.06786 -0.40863 0.26110 0.03333 0.25749|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
-0.24623 0.44513 0.31072 -0.33955 0.35776|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.06105 -0.32183 -0.29801 -0.04699 0.30107|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.38054 0.06704 -0.29690 0.35603 0.05402|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.04520 0.29517 -0.04901 -0.10719 0.25409|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.08547 0.17452 0.09918 0.23488 0.21599|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
0.11693 -0.19853 0.39198 0.04699 0.13209|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.34862 0.25983 -0.10674 -0.30210 -0.05992|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.33175 -0.05305 0.04805 0.29250 -0.41511|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.16228 0.27616 -0.01018 -0.03461 -0.05375|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.34801 -0.16140 -0.05062 -0.01329 0.15706|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------

